name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
BMW X5 xDrive 30d xLine,2019,4950000,30000.0,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000.0,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000.0,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000.0,Diesel,Dealer,Automatic,First Owner
BMW 3 Series 320d Luxury Line,2016,2150000,43000.0,Diesel,Dealer,Automatic,First Owner
BMW X1 sDrive 20d Exclusive,2011,1375000,60000.0,Diesel,Individual,Automatic,First Owner
BMW 3 Series 320d Sport,2013,2000000,167223.0,Diesel,Dealer,Automatic,First Owner
BMW 5 Series 520d Luxury Line,2017,2900000,40000.0,Diesel,Individual,Automatic,First Owner
BMW 7 Series 730Ld,2012,2500000,48000.0,Diesel,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,2017,2750000,13000.0,Diesel,Individual,Automatic,First Owner
BMW 3 Series 320d Sport Line,2013,1550000,75800.0,Diesel,Dealer,Automatic,Second Owner
BMW 7 Series 730Ld,2006,1050000,30000.0,Diesel,Dealer,Automatic,First Owner
BMW 5 Series 520d Luxury Line,2019,4800000,12999.0,Diesel,Dealer,Automatic,First Owner
BMW 3 Series 320d Luxury Line,2018,2300000,39000.0,Diesel,Individual,Automatic,First Owner
BMW X1 sDrive20d,2012,750000,100000.0,Diesel,Individual,Automatic,Second Owner
BMW 5 Series 520d Luxury Line,2018,4800000,9422.0,Diesel,Individual,Automatic,First Owner
BMW 5 Series 520d Luxury Line,2017,2900000,40000.0,Diesel,Individual,Automatic,First Owner
BMW 5 Series 530i,2006,480000,110000.0,Petrol,Individual,Automatic,Second Owner
BMW 5 Series 525d Sedan,2009,1200000,45000.0,Diesel,Individual,Automatic,Third Owner
BMW 3 Series 320d Luxury Line,2015,2200000,24000.0,Diesel,Individual,Automatic,First Owner
BMW X1 sDrive20d,2012,700000,120000.0,Diesel,Individual,Automatic,Second Owner
BMW X5 xDrive 30d xLine,2019,4950000,30000.0,Diesel,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,2019,2600000,9500.0,Diesel,Individual,Automatic,First Owner
Maruti 800 AC,2007,60000,70000.0,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,135000,50000.0,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,600000,100000.0,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,250000,46000.0,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,450000,141000.0,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,140000,125000.0,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,550000,25000.0,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,240000,60000.0,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,850000,25000.0,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,365000,78000.0,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,260000,35000.0,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,250000,100000.0,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000.0,Petrol,Dealer,Automatic,First Owner
Maruti 800 AC,2007,60000,70000.0,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,135000,50000.0,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,600000,100000.0,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,250000,46000.0,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,450000,141000.0,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,140000,125000.0,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,550000,25000.0,Petrol,Individual,Manual,First Owner
